period,metric,total_variance,primary_driver_account,primary_driver_name,primary_driver_variance,primary_driver_contribution_pct,top_3_drivers,controller_interpretation
2024-09-01,NET_PROFIT,-81944218.4,504,Cost of Goods Sold,-24014255.62,24.894621380291166,504 Cost of Goods Sold (24.9%) | 541 Fixed Asset Disposal Costs (14.2%) | 662 Interest Income (8.6%),UNFAVORABLE
2024-10-01,NET_PROFIT,-180424424.77,541,Fixed Asset Disposal Costs,-79348836.0,41.293791626299154,541 Fixed Asset Disposal Costs (41.3%) | 641 Other Operating Income (17.7%) | 504 Cost of Goods Sold (13.1%),UNFAVORABLE
2024-11-01,NET_PROFIT,-123834911.47,641,Other Operating Income,-41602855.6,30.702637885266306,641 Other Operating Income (30.7%) | 504 Cost of Goods Sold (16.8%) | 551 Depreciation (16.7%),UNFAVORABLE
2024-12-01,NET_PROFIT,-93114203.63,541,Fixed Asset Disposal Costs,-33860913.0,32.04483523555224,541 Fixed Asset Disposal Costs (32.0%) | 504 Cost of Goods Sold (23.3%) | 602 Sales Revenue (7.5%),UNFAVORABLE
2025-01-01,NET_PROFIT,-172759289.69,541,Fixed Asset Disposal Costs,-93155871.0,50.00041100806979,541 Fixed Asset Disposal Costs (50.0%) | 504 Cost of Goods Sold (14.7%) | 641 Other Operating Income (8.9%),UNFAVORABLE
2025-02-01,NET_PROFIT,-200036574.85,541,Fixed Asset Disposal Costs,-117880634.0,55.8516408671924,541 Fixed Asset Disposal Costs (55.9%) | 504 Cost of Goods Sold (10.5%) | 551 Depreciation (10.1%),UNFAVORABLE
2025-03-01,NET_PROFIT,-99864486.68,551,Depreciation,-30722882.32,27.286819924040024,551 Depreciation (27.3%) | 504 Cost of Goods Sold (20.4%) | 602 Sales Revenue (7.0%),UNFAVORABLE
2025-04-01,NET_PROFIT,-173655485.17999998,541,Fixed Asset Disposal Costs,-73952773.0,39.04815722512548,541 Fixed Asset Disposal Costs (39.0%) | 641 Other Operating Income (15.1%) | 504 Cost of Goods Sold (12.6%),UNFAVORABLE
2025-05-01,NET_PROFIT,-76580295.68,504,Cost of Goods Sold,-22918912.94,26.04489502623652,504 Cost of Goods Sold (26.0%) | 641 Other Operating Income (10.0%) | 602 Sales Revenue (9.8%),UNFAVORABLE
2025-06-01,NET_PROFIT,-68168244.27000001,504,Cost of Goods Sold,-25416629.97,31.241400874194667,504 Cost of Goods Sold (31.2%) | 602 Sales Revenue (11.0%) | 501 Material Consumption (7.8%),UNFAVORABLE
2025-07-01,NET_PROFIT,-398160705.32000005,541,Fixed Asset Disposal Costs,-268110286.0,64.78811560927464,541 Fixed Asset Disposal Costs (64.8%) | 641 Other Operating Income (15.3%) | 504 Cost of Goods Sold (6.4%),UNFAVORABLE
2025-08-01,NET_PROFIT,-113655932.49,541,Fixed Asset Disposal Costs,-44412392.0,35.01370866125594,541 Fixed Asset Disposal Costs (35.0%) | 504 Cost of Goods Sold (19.4%) | 641 Other Operating Income (9.1%),UNFAVORABLE
2025-09-01,NET_PROFIT,-109808088.93999998,641,Other Operating Income,-34593058.8,28.016891720328417,641 Other Operating Income (28.0%) | 504 Cost of Goods Sold (19.1%) | 541 Fixed Asset Disposal Costs (9.3%),UNFAVORABLE
2025-10-01,NET_PROFIT,-119576555.08,541,Fixed Asset Disposal Costs,-25716132.0,18.874471751745237,541 Fixed Asset Disposal Costs (18.9%) | 504 Cost of Goods Sold (17.9%) | 641 Other Operating Income (16.1%),UNFAVORABLE
2025-11-01,NET_PROFIT,-161663605.06000003,541,Fixed Asset Disposal Costs,-63402564.0,36.613725720655516,541 Fixed Asset Disposal Costs (36.6%) | 641 Other Operating Income (19.7%) | 504 Cost of Goods Sold (13.9%),UNFAVORABLE
2025-12-01,NET_PROFIT,-217062344.77999997,541,Fixed Asset Disposal Costs,-106015254.0,46.06305141201465,541 Fixed Asset Disposal Costs (46.1%) | 641 Other Operating Income (18.6%) | 504 Cost of Goods Sold (11.7%),UNFAVORABLE
2026-01-01,NET_PROFIT,109451738.46,541,Fixed Asset Disposal Costs,97813664.55,64.33046126829082,541 Fixed Asset Disposal Costs (64.3%) | 641 Other Operating Income (11.5%) | 662 Interest Income (6.2%),FAVORABLE
2026-02-01,NET_PROFIT,146348211.27,541,Fixed Asset Disposal Costs,123774665.7,67.85334910422108,541 Fixed Asset Disposal Costs (67.9%) | 551 Depreciation (12.2%) | 662 Interest Income (5.9%),FAVORABLE
2026-03-01,NET_PROFIT,21299259.110000003,551,Depreciation,32259026.45,51.390513190929575,551 Depreciation (51.4%) | 662 Interest Income (15.0%) | 663 FX Gains (9.1%),FAVORABLE
2026-04-01,NET_PROFIT,107323875.89000002,541,Fixed Asset Disposal Costs,77650411.65,53.38289631307362,541 Fixed Asset Disposal Costs (53.4%) | 641 Other Operating Income (20.6%) | 662 Interest Income (7.4%),FAVORABLE
2026-05-01,NET_PROFIT,14399679.17,641,Other Operating Income,9222705.24,20.456386054288167,641 Other Operating Income (20.5%) | 541 Fixed Asset Disposal Costs (20.0%) | 662 Interest Income (19.3%),FAVORABLE
2026-06-01,NET_PROFIT,-2480859.120000002,662,Interest Income,-9129894.83,26.332190474741246,662 Interest Income (26.3%) | 663 FX Gains (14.8%) | 541 Fixed Asset Disposal Costs (8.6%),UNFAVORABLE
2026-07-01,NET_PROFIT,333695089.6000001,541,Fixed Asset Disposal Costs,281515800.3,73.71306660128653,541 Fixed Asset Disposal Costs (73.7%) | 641 Other Operating Income (17.4%) | 662 Interest Income (3.4%),FAVORABLE
2026-08-01,NET_PROFIT,93586977.13000001,541,Fixed Asset Disposal Costs,46633011.6,39.401803264390885,541 Fixed Asset Disposal Costs (39.4%) | 504 Cost of Goods Sold (17.3%) | 641 Other Operating Income (10.2%),FAVORABLE
2026-09-01,NET_PROFIT,106561827.46000001,641,Other Operating Income,36322711.74,28.01689159520454,641 Other Operating Income (28.0%) | 504 Cost of Goods Sold (19.1%) | 541 Fixed Asset Disposal Costs (9.3%),FAVORABLE
2026-10-01,NET_PROFIT,110285234.81000002,541,Fixed Asset Disposal Costs,27001938.6,18.87447166651628,541 Fixed Asset Disposal Costs (18.9%) | 504 Cost of Goods Sold (17.9%) | 641 Other Operating Income (16.1%),FAVORABLE
2026-11-01,NET_PROFIT,153284894.14000002,541,Fixed Asset Disposal Costs,66572692.2,36.6137256348725,541 Fixed Asset Disposal Costs (36.6%) | 641 Other Operating Income (19.7%) | 504 Cost of Goods Sold (13.9%),FAVORABLE
2026-12-01,NET_PROFIT,217867085.6,541,Fixed Asset Disposal Costs,111316016.7,46.06305130546314,541 Fixed Asset Disposal Costs (46.1%) | 641 Other Operating Income (18.6%) | 504 Cost of Goods Sold (11.7%),FAVORABLE
2021-01-01,OPERATING_COSTS,-36374666.45,504,Cost of Goods Sold,-23152397.98,59.49812132732993,504 Cost of Goods Sold (59.5%) | 501 Material Consumption (18.2%) | 549 Shortages & Damages (9.9%),UNFAVORABLE
2021-02-01,OPERATING_COSTS,-37466545.050000004,504,Cost of Goods Sold,-23939698.93,63.896200992250286,504 Cost of Goods Sold (63.9%) | 501 Material Consumption (14.0%) | 549 Shortages & Damages (12.5%),UNFAVORABLE
2021-03-01,OPERATING_COSTS,-40960379.510000005,504,Cost of Goods Sold,-24283718.19,59.06527225872736,504 Cost of Goods Sold (59.1%) | 501 Material Consumption (17.4%) | 549 Shortages & Damages (11.2%),UNFAVORABLE
2021-04-01,OPERATING_COSTS,-38755979.54,504,Cost of Goods Sold,-23444258.92,59.34575702025112,504 Cost of Goods Sold (59.3%) | 501 Material Consumption (15.3%) | 549 Shortages & Damages (11.3%),UNFAVORABLE
2021-05-01,OPERATING_COSTS,-38654746.5,504,Cost of Goods Sold,-23285599.06,58.76008769806671,504 Cost of Goods Sold (58.8%) | 501 Material Consumption (16.3%) | 549 Shortages & Damages (15.5%),UNFAVORABLE
2021-06-01,OPERATING_COSTS,-39152295.440000005,504,Cost of Goods Sold,-24420936.89,61.22226870306623,504 Cost of Goods Sold (61.2%) | 501 Material Consumption (16.7%) | 549 Shortages & Damages (9.0%),UNFAVORABLE
2021-07-01,OPERATING_COSTS,-36618568.169999994,504,Cost of Goods Sold,-24727122.75,66.09557602351903,504 Cost of Goods Sold (66.1%) | 501 Material Consumption (17.0%) | 549 Shortages & Damages (10.8%),UNFAVORABLE
2021-08-01,OPERATING_COSTS,-38545853.55,504,Cost of Goods Sold,-23887952.93,58.284021860303824,504 Cost of Goods Sold (58.3%) | 501 Material Consumption (16.5%) | 549 Shortages & Damages (13.8%),UNFAVORABLE
2021-09-01,OPERATING_COSTS,-39605247.12,504,Cost of Goods Sold,-24767828.29,59.161342763788724,504 Cost of Goods Sold (59.2%) | 501 Material Consumption (15.5%) | 549 Shortages & Damages (11.3%),UNFAVORABLE
2021-10-01,OPERATING_COSTS,-37429779.31,504,Cost of Goods Sold,-23873117.77,62.35859550674523,504 Cost of Goods Sold (62.4%) | 501 Material Consumption (16.9%) | 549 Shortages & Damages (11.4%),UNFAVORABLE
2021-11-01,OPERATING_COSTS,-38195722.4,504,Cost of Goods Sold,-25100441.81,59.76543106470146,504 Cost of Goods Sold (59.8%) | 501 Material Consumption (15.6%) | 549 Shortages & Damages (12.1%),UNFAVORABLE
2021-12-01,OPERATING_COSTS,-44379408.43,504,Cost of Goods Sold,-27479192.42,59.20985539308165,504 Cost of Goods Sold (59.2%) | 501 Material Consumption (14.7%) | 549 Shortages & Damages (10.6%),UNFAVORABLE
2022-01-01,OPERATING_COSTS,-34991924.839999996,504,Cost of Goods Sold,-22885372.75,65.02226945913006,504 Cost of Goods Sold (65.0%) | 501 Material Consumption (16.4%) | 549 Shortages & Damages (11.3%),UNFAVORABLE
2022-02-01,OPERATING_COSTS,-38551819.03000001,504,Cost of Goods Sold,-23192484.91,60.15924927420991,504 Cost of Goods Sold (60.2%) | 501 Material Consumption (16.8%) | 549 Shortages & Damages (9.9%),UNFAVORABLE
2022-03-01,OPERATING_COSTS,-41011832.48,504,Cost of Goods Sold,-26951286.25,64.21227215141697,504 Cost of Goods Sold (64.2%) | 501 Material Consumption (16.9%) | 549 Shortages & Damages (12.6%),UNFAVORABLE
2022-04-01,OPERATING_COSTS,-39388497.230000004,504,Cost of Goods Sold,-25196027.02,60.005501652675505,504 Cost of Goods Sold (60.0%) | 501 Material Consumption (17.8%) | 549 Shortages & Damages (13.1%),UNFAVORABLE
2022-05-01,OPERATING_COSTS,-39878691.190000005,504,Cost of Goods Sold,-25290555.2,63.182470101966395,504 Cost of Goods Sold (63.2%) | 501 Material Consumption (17.3%) | 549 Shortages & Damages (11.1%),UNFAVORABLE
2022-06-01,OPERATING_COSTS,-38844651.89,504,Cost of Goods Sold,-23776793.01,60.44884264270618,504 Cost of Goods Sold (60.4%) | 549 Shortages & Damages (14.5%) | 501 Material Consumption (14.5%),UNFAVORABLE
2022-07-01,OPERATING_COSTS,-38810811.46,504,Cost of Goods Sold,-23791526.06,59.92953819500869,504 Cost of Goods Sold (59.9%) | 501 Material Consumption (16.8%) | 549 Shortages & Damages (13.7%),UNFAVORABLE
2022-08-01,OPERATING_COSTS,-39285656.120000005,504,Cost of Goods Sold,-27803070.7,67.69728841203492,504 Cost of Goods Sold (67.7%) | 501 Material Consumption (16.6%) | 549 Shortages & Damages (9.9%),UNFAVORABLE
2022-09-01,OPERATING_COSTS,-41230429.68999999,504,Cost of Goods Sold,-28020760.06,66.96665163420833,504 Cost of Goods Sold (67.0%) | 501 Material Consumption (15.0%) | 549 Shortages & Damages (10.5%),UNFAVORABLE
2022-10-01,OPERATING_COSTS,-35795411.35,504,Cost of Goods Sold,-24080693.24,65.58075626280255,504 Cost of Goods Sold (65.6%) | 501 Material Consumption (15.4%) | 549 Shortages & Damages (11.1%),UNFAVORABLE
2022-11-01,OPERATING_COSTS,-42880086.98,504,Cost of Goods Sold,-26154082.56,58.161786126989014,504 Cost of Goods Sold (58.2%) | 501 Material Consumption (16.9%) | 549 Shortages & Damages (13.8%),UNFAVORABLE
2022-12-01,OPERATING_COSTS,-38676518.46,504,Cost of Goods Sold,-22793215.08,58.93295463906137,504 Cost of Goods Sold (58.9%) | 501 Material Consumption (18.8%) | 549 Shortages & Damages (8.2%),UNFAVORABLE
2023-01-01,OPERATING_COSTS,-41138510.56,504,Cost of Goods Sold,-25036346.85,58.87980878936465,504 Cost of Goods Sold (58.9%) | 501 Material Consumption (15.8%) | 549 Shortages & Damages (9.9%),UNFAVORABLE
2023-02-01,OPERATING_COSTS,-34854876.07,504,Cost of Goods Sold,-23536950.35,66.41446388842846,504 Cost of Goods Sold (66.4%) | 501 Material Consumption (16.1%) | 549 Shortages & Damages (8.3%),UNFAVORABLE
2023-03-01,OPERATING_COSTS,-40421140.8,504,Cost of Goods Sold,-25807035.81,63.01358096494051,504 Cost of Goods Sold (63.0%) | 501 Material Consumption (17.6%) | 549 Shortages & Damages (10.3%),UNFAVORABLE
2023-04-01,OPERATING_COSTS,-34779742.04,504,Cost of Goods Sold,-21209421.97,56.57251747578559,504 Cost of Goods Sold (56.6%) | 501 Material Consumption (16.2%) | 549 Shortages & Damages (13.5%),UNFAVORABLE
2023-05-01,OPERATING_COSTS,-42840833.34,504,Cost of Goods Sold,-26281426.92,60.45633216484136,504 Cost of Goods Sold (60.5%) | 501 Material Consumption (16.0%) | 549 Shortages & Damages (9.1%),UNFAVORABLE
2023-06-01,OPERATING_COSTS,-41327239.89,504,Cost of Goods Sold,-25727025.24,60.97003542116699,504 Cost of Goods Sold (61.0%) | 501 Material Consumption (16.2%) | 549 Shortages & Damages (10.6%),UNFAVORABLE
2023-07-01,OPERATING_COSTS,-40634094.52,504,Cost of Goods Sold,-24322022.63,58.72451458577985,504 Cost of Goods Sold (58.7%) | 501 Material Consumption (15.9%) | 549 Shortages & Damages (12.6%),UNFAVORABLE
2023-08-01,OPERATING_COSTS,-41135827.74999999,504,Cost of Goods Sold,-25410490.99,58.35720572129117,504 Cost of Goods Sold (58.4%) | 501 Material Consumption (15.1%) | 549 Shortages & Damages (9.3%),UNFAVORABLE
2023-09-01,OPERATING_COSTS,-39268819.830000006,504,Cost of Goods Sold,-23771535.37,60.346226543350454,504 Cost of Goods Sold (60.3%) | 501 Material Consumption (17.9%) | 549 Shortages & Damages (12.4%),UNFAVORABLE
2023-10-01,OPERATING_COSTS,-39860451.81,504,Cost of Goods Sold,-25293388.71,61.068535091653445,504 Cost of Goods Sold (61.1%) | 501 Material Consumption (16.7%) | 549 Shortages & Damages (8.8%),UNFAVORABLE
2023-11-01,OPERATING_COSTS,-40416745.690000005,504,Cost of Goods Sold,-24456682.69,60.51126153892971,504 Cost of Goods Sold (60.5%) | 501 Material Consumption (16.8%) | 549 Shortages & Damages (12.3%),UNFAVORABLE
2023-12-01,OPERATING_COSTS,-37804474.35999999,504,Cost of Goods Sold,-22518046.68,58.32413511896141,504 Cost of Goods Sold (58.3%) | 501 Material Consumption (17.4%) | 549 Shortages & Damages (14.2%),UNFAVORABLE
2024-01-01,OPERATING_COSTS,-40459915.74999999,504,Cost of Goods Sold,-26000528.15,62.63678265953975,504 Cost of Goods Sold (62.6%) | 501 Material Consumption (16.6%) | 549 Shortages & Damages (11.6%),UNFAVORABLE
2024-02-01,OPERATING_COSTS,-37995588.269999996,504,Cost of Goods Sold,-24349381.43,64.08475967517899,504 Cost of Goods Sold (64.1%) | 501 Material Consumption (17.5%) | 549 Shortages & Damages (11.7%),UNFAVORABLE
2024-03-01,OPERATING_COSTS,-39413517.599999994,504,Cost of Goods Sold,-24817445.65,58.36216672904558,504 Cost of Goods Sold (58.4%) | 501 Material Consumption (16.2%) | 549 Shortages & Damages (14.1%),UNFAVORABLE
2024-04-01,OPERATING_COSTS,-38091389.2,504,Cost of Goods Sold,-23171953.14,57.95234793279527,504 Cost of Goods Sold (58.0%) | 501 Material Consumption (16.8%) | 549 Shortages & Damages (16.2%),UNFAVORABLE
2024-05-01,OPERATING_COSTS,-39931802.809999995,504,Cost of Goods Sold,-24901119.37,62.101529175900616,504 Cost of Goods Sold (62.1%) | 501 Material Consumption (17.6%) | 549 Shortages & Damages (10.8%),UNFAVORABLE
2024-06-01,OPERATING_COSTS,-34376774.980000004,504,Cost of Goods Sold,-22470688.77,63.099893656771386,504 Cost of Goods Sold (63.1%) | 501 Material Consumption (18.6%) | 549 Shortages & Damages (9.2%),UNFAVORABLE
2024-07-01,OPERATING_COSTS,-39445524.06999999,504,Cost of Goods Sold,-25855615.7,62.55288028463038,504 Cost of Goods Sold (62.6%) | 501 Material Consumption (16.8%) | 549 Shortages & Damages (11.6%),UNFAVORABLE
2024-08-01,OPERATING_COSTS,-36831227.35000001,504,Cost of Goods Sold,-22615324.82,57.491347394948555,504 Cost of Goods Sold (57.5%) | 501 Material Consumption (15.4%) | 549 Shortages & Damages (13.8%),UNFAVORABLE
2024-09-01,OPERATING_COSTS,-40791526.84,504,Cost of Goods Sold,-24014255.62,57.59603255274497,504 Cost of Goods Sold (57.6%) | 501 Material Consumption (14.3%) | 549 Shortages & Damages (13.1%),UNFAVORABLE
2024-10-01,OPERATING_COSTS,-43340234.45,504,Cost of Goods Sold,-25250727.64,57.773661874451285,504 Cost of Goods Sold (57.8%) | 501 Material Consumption (17.7%) | 549 Shortages & Damages (12.3%),UNFAVORABLE
2024-11-01,OPERATING_COSTS,-38867690.89000001,504,Cost of Goods Sold,-22734012.92,58.490773183155774,504 Cost of Goods Sold (58.5%) | 501 Material Consumption (17.1%) | 549 Shortages & Damages (12.4%),UNFAVORABLE
2024-12-01,OPERATING_COSTS,-40638245.65,504,Cost of Goods Sold,-24600737.26,59.83177949544496,504 Cost of Goods Sold (59.8%) | 501 Material Consumption (16.6%) | 549 Shortages & Damages (13.2%),UNFAVORABLE
2025-01-01,OPERATING_COSTS,-42716546.93,504,Cost of Goods Sold,-27352922.15,62.58464399562034,504 Cost of Goods Sold (62.6%) | 501 Material Consumption (17.0%) | 549 Shortages & Damages (9.1%),UNFAVORABLE
2025-02-01,OPERATING_COSTS,-35157952.89,504,Cost of Goods Sold,-22165577.85,61.42061134632769,504 Cost of Goods Sold (61.4%) | 501 Material Consumption (16.8%) | 549 Shortages & Damages (10.7%),UNFAVORABLE
2025-03-01,OPERATING_COSTS,-40180225.24999999,504,Cost of Goods Sold,-22949333.9,56.30757809113145,504 Cost of Goods Sold (56.3%) | 549 Shortages & Damages (17.6%) | 501 Material Consumption (17.3%),UNFAVORABLE
2025-04-01,OPERATING_COSTS,-40153451.260000005,504,Cost of Goods Sold,-23906954.56,59.334726180229055,504 Cost of Goods Sold (59.3%) | 501 Material Consumption (17.3%) | 549 Shortages & Damages (12.7%),UNFAVORABLE
2025-05-01,OPERATING_COSTS,-38978111.51000001,504,Cost of Goods Sold,-22918912.94,57.377838755666296,504 Cost of Goods Sold (57.4%) | 501 Material Consumption (16.5%) | 549 Shortages & Damages (9.7%),UNFAVORABLE
2025-06-01,OPERATING_COSTS,-39118940.69,504,Cost of Goods Sold,-25416629.97,64.4915252734431,504 Cost of Goods Sold (64.5%) | 501 Material Consumption (16.1%) | 549 Shortages & Damages (10.2%),UNFAVORABLE
2025-07-01,OPERATING_COSTS,-44403005.699999996,504,Cost of Goods Sold,-26317453.84,59.269532377624614,504 Cost of Goods Sold (59.3%) | 501 Material Consumption (14.7%) | 549 Shortages & Damages (14.3%),UNFAVORABLE
2025-08-01,OPERATING_COSTS,-38144710.91,504,Cost of Goods Sold,-24561912.66,62.95949748397721,504 Cost of Goods Sold (63.0%) | 501 Material Consumption (16.6%) | 549 Shortages & Damages (10.7%),UNFAVORABLE
2025-09-01,OPERATING_COSTS,-40232429.43000001,504,Cost of Goods Sold,-23566758.16,55.72899119874174,504 Cost of Goods Sold (55.7%) | 501 Material Consumption (17.6%) | 549 Shortages & Damages (14.8%),UNFAVORABLE
2025-10-01,OPERATING_COSTS,-40133649.800000004,504,Cost of Goods Sold,-24328604.85,58.01284558654726,504 Cost of Goods Sold (58.0%) | 501 Material Consumption (17.9%) | 549 Shortages & Damages (13.2%),UNFAVORABLE
2025-11-01,OPERATING_COSTS,-37221575.71000001,504,Cost of Goods Sold,-24005012.63,62.42719193317129,504 Cost of Goods Sold (62.4%) | 501 Material Consumption (17.2%) | 549 Shortages & Damages (10.3%),UNFAVORABLE
2025-12-01,OPERATING_COSTS,-42526185.23,504,Cost of Goods Sold,-26818360.36,61.70095964931581,504 Cost of Goods Sold (61.7%) | 501 Material Consumption (15.9%) | 549 Shortages & Damages (12.5%),UNFAVORABLE
2026-01-01,OPERATING_COSTS,1506954.5599999996,504,Cost of Goods Sold,2513846.2699999996,31.851140180904252,504 Cost of Goods Sold (31.9%) | 549 Shortages & Damages (19.9%) | 518 Other Services (18.9%),FAVORABLE
2026-02-01,OPERATING_COSTS,372835.9500000037,548,Other Operating Costs,988054.3400000001,20.974868235768696,548 Other Operating Costs (21.0%) | 549 Shortages & Damages (20.0%) | 524 Social & Health Insurance (18.3%),FAVORABLE
2026-03-01,OPERATING_COSTS,82115.97000000096,549,Shortages & Damages,1471395.5300000003,34.26891385623863,549 Shortages & Damages (34.3%) | 504 Cost of Goods Sold (22.2%) | 501 Material Consumption (14.1%),FAVORABLE
2026-04-01,OPERATING_COSTS,3416590.619999999,502,Energy Consumption,1869189.63,28.868808803882757,502 Energy Consumption (28.9%) | 549 Shortages & Damages (14.0%) | 518 Other Services (12.5%),FAVORABLE
2026-05-01,OPERATING_COSTS,5707578.079999998,524,Social & Health Insurance,2280025.69,32.77922522464306,524 Social & Health Insurance (32.8%) | 502 Energy Consumption (16.8%) | 501 Material Consumption (9.7%),FAVORABLE
2026-06-01,OPERATING_COSTS,-1659619.3200000003,504,Cost of Goods Sold,-1045698.3200000003,22.135996763096927,504 Cost of Goods Sold (22.1%) | 524 Social & Health Insurance (20.8%) | 548 Other Operating Costs (13.4%),UNFAVORABLE
2026-07-01,OPERATING_COSTS,4373166.549999999,549,Shortages & Damages,2248497.9499999993,36.44682324295642,549 Shortages & Damages (36.4%) | 521 Payroll Costs (15.0%) | 504 Cost of Goods Sold (14.6%),FAVORABLE
2026-08-01,OPERATING_COSTS,30660835.7,504,Cost of Goods Sold,20476475.639999997,65.06325319003015,504 Cost of Goods Sold (65.1%) | 501 Material Consumption (15.8%) | 549 Shortages & Damages (10.6%),FAVORABLE
2026-09-01,OPERATING_COSTS,42244051.260000005,504,Cost of Goods Sold,24745096.2,55.7289910686654,504 Cost of Goods Sold (55.7%) | 501 Material Consumption (17.6%) | 549 Shortages & Damages (14.8%),FAVORABLE
2026-10-01,OPERATING_COSTS,42140332.71,504,Cost of Goods Sold,25545035.18,58.01284522533384,504 Cost of Goods Sold (58.0%) | 501 Material Consumption (17.9%) | 549 Shortages & Damages (13.2%),FAVORABLE
2026-11-01,OPERATING_COSTS,39082654.78999999,504,Cost of Goods Sold,25205263.38,62.42719177905113,504 Cost of Goods Sold (62.4%) | 501 Material Consumption (17.2%) | 549 Shortages & Damages (10.3%),FAVORABLE
2026-12-01,OPERATING_COSTS,44652494.9,504,Cost of Goods Sold,28159278.47,61.70095929592316,504 Cost of Goods Sold (61.7%) | 501 Material Consumption (15.9%) | 549 Shortages & Damages (12.5%),FAVORABLE
2021-01-01,REVENUE,-9271506.6,602,Sales Revenue,-8660080.68,91.00266771940149,602 Sales Revenue (91.0%) | 604 Sales Revenue (7.7%) | 601 Sales Revenue (1.3%),UNFAVORABLE
2021-02-01,REVENUE,-5795763.390000001,602,Sales Revenue,-6947629.78,85.7785426917487,602 Sales Revenue (85.8%) | 604 Sales Revenue (9.6%) | 601 Sales Revenue (4.6%),UNFAVORABLE
2021-03-01,REVENUE,-7779051.090000001,602,Sales Revenue,-8388981.46,89.22329602668533,602 Sales Revenue (89.2%) | 601 Sales Revenue (8.6%) | 604 Sales Revenue (2.1%),UNFAVORABLE
2021-04-01,REVENUE,-9210169.600000001,602,Sales Revenue,-9109256.73,86.11431738490012,602 Sales Revenue (86.1%) | 604 Sales Revenue (7.4%) | 601 Sales Revenue (6.5%),UNFAVORABLE
2021-05-01,REVENUE,-7772793.73,602,Sales Revenue,-6750628.83,86.84945290578294,602 Sales Revenue (86.8%) | 601 Sales Revenue (10.2%) | 604 Sales Revenue (3.0%),UNFAVORABLE
2021-06-01,REVENUE,-7836161.75,602,Sales Revenue,-8372339.71,82.96617321663527,602 Sales Revenue (83.0%) | 601 Sales Revenue (11.2%) | 604 Sales Revenue (5.9%),UNFAVORABLE
2021-07-01,REVENUE,-9782161.680000002,602,Sales Revenue,-8347773.7,85.33669727691519,602 Sales Revenue (85.3%) | 604 Sales Revenue (7.9%) | 601 Sales Revenue (6.8%),UNFAVORABLE
2021-08-01,REVENUE,-8762319.159999998,602,Sales Revenue,-8697619.77,89.68636151769577,602 Sales Revenue (89.7%) | 604 Sales Revenue (5.5%) | 601 Sales Revenue (4.8%),UNFAVORABLE
2021-09-01,REVENUE,-7964188.369999999,602,Sales Revenue,-8815371.37,91.19455632876145,602 Sales Revenue (91.2%) | 601 Sales Revenue (7.3%) | 604 Sales Revenue (1.5%),UNFAVORABLE
2021-10-01,REVENUE,-5918231.210000001,602,Sales Revenue,-7776598.16,80.7122607214091,602 Sales Revenue (80.7%) | 601 Sales Revenue (13.4%) | 604 Sales Revenue (5.9%),UNFAVORABLE
2021-11-01,REVENUE,-9112830.13,602,Sales Revenue,-9221866.55,90.90796491625343,602 Sales Revenue (90.9%) | 601 Sales Revenue (5.1%) | 604 Sales Revenue (4.0%),UNFAVORABLE
2021-12-01,REVENUE,-8402233.719999999,602,Sales Revenue,-8360867.31,94.83186242443877,602 Sales Revenue (94.8%) | 604 Sales Revenue (2.8%) | 601 Sales Revenue (2.3%),UNFAVORABLE
2022-01-01,REVENUE,-6739553.95,602,Sales Revenue,-7866698.03,87.46760209691962,602 Sales Revenue (87.5%) | 601 Sales Revenue (7.1%) | 604 Sales Revenue (5.4%),UNFAVORABLE
2022-02-01,REVENUE,-7930526.78,602,Sales Revenue,-8039938.1,94.75056855139269,602 Sales Revenue (94.8%) | 604 Sales Revenue (3.3%) | 601 Sales Revenue (2.0%),UNFAVORABLE
2022-03-01,REVENUE,-9632863.55,602,Sales Revenue,-9154658.19,95.0356884272486,602 Sales Revenue (95.0%) | 604 Sales Revenue (4.7%) | 601 Sales Revenue (0.3%),UNFAVORABLE
2022-04-01,REVENUE,-8326267.13,602,Sales Revenue,-8259096.41,96.15099207427392,602 Sales Revenue (96.2%) | 604 Sales Revenue (2.3%) | 601 Sales Revenue (1.5%),UNFAVORABLE
2022-05-01,REVENUE,-8852259.05,602,Sales Revenue,-8052342.73,90.96370411799009,602 Sales Revenue (91.0%) | 601 Sales Revenue (6.4%) | 604 Sales Revenue (2.6%),UNFAVORABLE
2022-06-01,REVENUE,-8053369.059999999,602,Sales Revenue,-9001908.44,90.46736993993903,602 Sales Revenue (90.5%) | 601 Sales Revenue (5.9%) | 604 Sales Revenue (3.7%),UNFAVORABLE
2022-07-01,REVENUE,-9304011.06,602,Sales Revenue,-8846777.73,95.08563213165398,602 Sales Revenue (95.1%) | 604 Sales Revenue (3.9%) | 601 Sales Revenue (1.0%),UNFAVORABLE
2022-08-01,REVENUE,-9316910.21,602,Sales Revenue,-9367392.05,93.15643121468584,602 Sales Revenue (93.2%) | 604 Sales Revenue (3.7%) | 601 Sales Revenue (3.2%),UNFAVORABLE
2022-09-01,REVENUE,-8226871.5,602,Sales Revenue,-8530595.44,77.95585638936788,602 Sales Revenue (78.0%) | 604 Sales Revenue (12.4%) | 601 Sales Revenue (9.6%),UNFAVORABLE
2022-10-01,REVENUE,-6788009.97,602,Sales Revenue,-7109057.96,89.69703479300182,602 Sales Revenue (89.7%) | 601 Sales Revenue (7.2%) | 604 Sales Revenue (3.1%),UNFAVORABLE
